"proyecto" "folioviv" "foliohog" "numren" "conyu" "inglab" "pea" "c_ocupa" "sector_act" "ocup_16omas" "ocup" "trab_formal" "pering" "asis_esc" "años_escolaridad" "preslab" "jub" "factor" "habl_ind" "edo_civ" "pob_ind" "tam_loc" "ic_rezedu" "ic_asalud" "ic_segsoc" "ic_cv" "ic_sbv" "ic_ali" "ictpc" "sexo" "edad" "ictpc2" "mun" "ayuotr" "bengob" "est_calidad_vivienda" "actcom" "tdep" "remesas" "rururb" "bienes" "jsexo" "jedad" "pcpering" "pcocup" "jaesc" "clase_hog" "jnived"
2 153001 0 1 0 0 2 5 4 0 0 3 0 2 5 NA 0 1819 0 1 0 4 1 0 1 0 1 1 134.12628 1 34 134.12628 5 0 0 2 1 0 0 1 7 1 34 50 50 5 2 3
2 153001 0 2 1 88.085229 1 3 3 1 1 2 1 2 7 NA 0 1819 0 1 0 4 0 0 1 0 1 1 134.12628 0 41 134.12628 5 0 0 2 1 0 0 1 7 1 34 50 50 5 2 3
2 153002 0 1 0 1000.5923 1 3 3 1 1 2 1 2 12 NA 0 1819 0 2 0 4 0 0 1 0 1 1 279.87242 1 34 279.87242 5 0 0 2 1 1.5 0 1 10 1 34 40 40 12 2 6
2 153002 0 2 1 112.78443 1 3 3 1 1 2 1 2 9 NA 0 1819 0 2 0 4 0 0 1 0 1 1 279.87242 0 29 279.87242 5 0 0 2 1 1.5 0 1 10 1 34 40 40 12 2 6
2 153002 0 3 0 NA 4 7 6 0 0 5 0 1 5 NA 0 1819 0 NA 0 4 0 0 1 0 1 1 279.87242 0 11 279.87242 5 0 0 2 1 1.5 0 1 10 1 34 40 40 12 2 6
2 153002 0 4 0 NA 4 7 6 0 0 5 0 1 0 NA 0 1819 0 NA 0 4 0 0 1 0 1 1 279.87242 0 7 279.87242 5 0 0 2 1 1.5 0 1 10 1 34 40 40 12 2 6
2 153003 0 1 0 0 3 6 5 0 0 4 1 2 0 NA 0 1819 0 5 0 4 1 1 0 0 1 0 915.46953 0 85 915.46953 5 0 1 2 1 1 0 1 6 0 85 100 50 0 2 1
2 153003 0 2 0 924.89491 1 1 1 1 1 NA 1 2 6 0 0 1819 0 5 0 4 0 1 1 0 1 0 915.46953 1 43 915.46953 5 0 1 2 1 1 0 1 6 0 85 100 50 0 2 1
2 153004 0 1 0 3002.9056 1 3 2 1 1 NA 1 2 6 0 0 1819 0 2 0 4 0 0 1 0 1 0 670.70764 1 33 670.70764 5 0 0 2 1 2 0 1 5 1 33 33.33334 33.33334 6 2 4
2 153004 0 2 1 266.25763 1 1 1 1 1 NA 1 2 6 0 0 1819 0 2 0 4 0 0 1 0 1 0 670.70764 0 32 670.70764 5 0 0 2 1 2 0 1 5 1 33 33.33334 33.33334 6 2 4
2 153004 0 3 0 NA 4 7 6 0 0 5 0 1 6 NA 0 1819 0 6 0 4 0 0 1 0 1 0 670.70764 1 12 670.70764 5 0 0 2 1 2 0 1 5 1 33 33.33334 33.33334 6 2 4
2 153004 0 4 0 NA 4 7 6 0 0 5 0 2 0 NA 0 1819 0 NA 0 4 1 0 1 0 1 0 670.70764 0 3 670.70764 5 0 0 2 1 2 0 1 5 1 33 33.33334 33.33334 6 2 4
2 153004 0 5 0 NA 4 7 6 0 0 5 0 1 2 NA 0 1819 0 NA 0 4 0 0 1 0 1 0 670.70764 0 7 670.70764 5 0 0 2 1 2 0 1 5 1 33 33.33334 33.33334 6 2 4
2 153004 0 6 0 NA 4 7 6 0 0 5 0 1 8 NA 0 1819 0 6 0 4 0 0 1 0 1 0 670.70764 0 14 670.70764 5 0 0 2 1 2 0 1 5 1 33 33.33334 33.33334 6 2 4
2 153005 0 1 0 38.036804 1 1 1 1 1 NA 1 2 2 0 0 1819 0 2 0 4 1 1 0 0 1 0 427.51899 1 73 427.51899 5 1 1 2 0 0 0 1 3 1 73 100 100 2 2 3
2 153005 0 2 1 45.043583 1 1 1 1 1 NA 1 2 1 0 0 1819 0 2 0 4 1 1 1 0 1 0 427.51899 0 75 427.51899 5 1 1 2 0 0 0 1 3 1 73 100 100 2 2 3
2 153006 0 1 0 1163.5203 1 1 2 1 1 2 1 2 4 NA 0 1819 0 2 0 4 1 0 1 0 1 0 825.30114 1 48 825.30114 5 0 1 2 1 0 0 1 4 1 48 100 50 4 2 3
